Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City
3M CO,,11,2,18%,Industrials,Minnesota,ST. PAUL 
ABBOTT LABORATORIES,,12,4,33%,Healthcare,Illinois,ABBOTT PARK 
ADOBE SYSTEMS INC,,10,2,20%,Technology,California,SAN JOSE 
AFLAC INC,,14,3,21%,Financial Services,Georgia,COLUMBUS 
AIR PRODUCTS & CHEMICALS INC /DE/,,8,2,25%,Basic Materials,Pennsylvania,ALLENTOWN 
ALEXION PHARMACEUTICALS INC,,10,2,20%,Healthcare,Connecticut,NEW HAVEN 
Allergan plc,,12,3,25%,Healthcare,New Jersey,DUBLIN 
Allstate Corporation,,11,3,27%,Financial Services,Illinois,NORTHBROOK 
ALTRIA GROUP INC.,,11,3,27%,Consumer Defensive,Virginia,RICHMOND 
Amazon.com Inc.,,10,3,30%,Consumer Cyclical,Washington,SEATTLE 
AMBAC FINANCIAL GROUP INC,,6,0,0%,Financial Services,New York,NEW YORK 
AMBARELLA INC,,6,0,0%,Technology,California,SANTA CLARA 
Amber Road Inc.,,6,1,17%,,,EAST RUTHERFORD 
AMC ENTERTAINMENT HOLDINGS INC.,,9,1,11%,Consumer Cyclical,Kansas,LEAWOOD 
AMC Networks Inc.,,14,2,14%,Consumer Cyclical,New York,NEW YORK 
AMDOCS LTD,,11,0,0%,Technology,Missouri,ST. PETER PORT 
AMEDISYS INC,,9,2,22%,Healthcare,Louisiana,BATON ROUGE 
AMERCO /NV/,,8,0,0%,Industrials,Nevada,RENO 
AMEREN CORP,,11,3,27%,Utilities,Missouri,ST. LOUIS 
Ameresco Inc.,,8,1,13%,Industrials,Massachusetts,FRAMINGHAM 
American Airlines Group Inc.,,13,2,15%,Industrials,Texas,FORT WORTH 
American Assets Trust Inc.,,5,0,0%,Real Estate,California,SAN DIEGO 
AMERICAN AXLE & MANUFACTURING HOLDINGS INC,,8,1,13%,Consumer Cyclical,Michigan,DETROIT 
AMERICAN CAMPUS COMMUNITIES INC,,8,1,13%,,,AUSTIN 
American Capital Ltd.,,10,3,30%,Financial Services,Maryland,Bethesda 
AMERICAN EAGLE OUTFITTERS INC,,6,1,17%,Consumer Cyclical,Pennsylvania,PITTSBURGH 
AMERICAN ELECTRIC POWER CO INC,,12,3,25%,Utilities,Ohio,COLUMBUS 
AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,,12,3,25%,Financial Services,Iowa,WEST DES MOINES 
AMERICAN EXPRESS CO,,14,3,21%,Financial Services,New York,NEW YORK 
American Family Mutual Insurance Company,,14,4,29%,Financial Services,Wisconsin,Madison 
AMERICAN FINANCIAL GROUP INC,,11,1,9%,Financial Services,Ohio,CINCINNATI 
American Homes 4 Rent,,9,1,11%,,,AGOURA HILLS 
AMERICAN INTERNATIONAL GROUP INC,,13,3,23%,Financial Services,New York,NEW YORK 
AMERICAN NATIONAL BANKSHARES INC,,13,1,8%,Financial Services,Virginia,DANVILLE 
AMERICAN NATIONAL INSURANCE CO /TX/,,8,1,13%,Financial Services,Texas,GALVESTON 
AMERICAN OUTDOOR BRANDS CORPORATION,,9,1,11%,,,SPRINGFIELD 
AMERICAN PUBLIC EDUCATION INC,,8,3,38%,,,CHARLES TOWN 
American Railcar Industries Inc.,,6,0,0%,,,ST. CHARLES 
American Renal Associates Holdings Inc.,,10,1,10%,,,BEVERLY 
American Science & Engineering Inc.,,7,1,14%,Technology,Massachusetts,Billerica 
AMERICAN SOFTWARE INC,,5,0,0%,,,ATLANTA 
AMERICAN STATES WATER CO,,9,4,44%,Utilities,California,SAN DIMAS 
AMERICAN TOWER CORP /MA/,,9,2,22%,Real Estate,Massachusetts,BOSTON 
AMERICAN VANGUARD CORP,,8,1,13%,Basic Materials,California,NEWPORT BEACH 
American Water Works Company Inc.,,8,5,63%,Utilities,New Jersey,VOORHEES 
AMERICAN WOODMARK CORP,,8,2,25%,Consumer Cyclical,Virginia,WINCHESTER 
AMERICAS CARMART INC,,7,0,0%,,,BENTONVILLE 
AMERIPRISE FINANCIAL INC,,9,3,33%,Financial Services,Minnesota,MINNEAPOLIS 
Ameris Bancorp,,9,1,11%,,,MOULTRIE 
AMERISAFE INC,,8,2,25%,Financial Services,Louisiana,DERIDDER 
AMERISOURCEBERGEN CORP,,10,3,30%,Healthcare,Pennsylvania,CHESTERBROOK 
AMES NATIONAL CORP,,10,2,20%,Financial Services,Iowa,AMES 
AMETEK INC/,,10,3,30%,Industrials,Pennsylvania,BERWYN 
AMGEN INC,,13,2,15%,Healthcare,California,THOUSAND OAKS 
Amica Mutual Insurance Company,,12,4,33%,Financial Services,Rhode Island,Lincoln 
AMICUS THERAPEUTICS INC,,8,1,13%,,,CRANBURY 
AMKOR TECHNOLOGY INC,,10,1,10%,Technology,Arizona,TEMPE 
AMN HEALTHCARE SERVICES INC,,8,2,25%,Healthcare,California,SAN DIEGO 
AMPCO PITTSBURGH CORP,,11,0,0%,,,CARNEGIE 
Amphastar Pharmaceuticals Inc.,,9,1,11%,,,RANCHO CUCAMONGA 
AMPHENOL CORP /DE/,,8,1,13%,Technology,Connecticut,WALLINGFORD 
Amplify Snack Brands INC,,8,2,25%,,,AUSTIN 
AMSC,,6,1,17%,Technology,Massachusetts,Devens 
AmSurg Corporation,,11,2,18%,Healthcare,Tennessee,Nashville 
Amtrust Financial Services Inc.,,7,2,29%,Financial Services,New York,NEW YORK 
ANADARKO PETROLEUM CORP,,12,2,17%,Energy,Texas,THE WOODLANDS 
ANALOG DEVICES INC,,9,1,11%,Technology,Massachusetts,NORWOOD 
ANALOGIC CORP,,6,0,0%,Healthcare,Massachusetts,PEABODY 
ANAPTYSBIO INC,,7,1,14%,,,SAN DIEGO 
